label	Group	numOtus	Otu001	Otu002	Otu003	Otu004	Otu005	Otu006	Otu007	Otu008	Otu009	Otu010	Otu011	Otu012	Otu013	Otu014	Otu015	Otu016	Otu017	Otu018	Otu019	Otu020	Otu021	Otu022	Otu023	Otu024	Otu025	Otu026	Otu027	Otu028	Otu029	Otu030	Otu031	Otu032	Otu033	Otu034	Otu035	Otu036	Otu037	Otu038	Otu039	Otu040	Otu041	Otu042	Otu043	Otu044	Otu045	Otu046	Otu047	Otu048	Otu049	Otu050	Otu051	Otu052	Otu053	Otu054	Otu055	Otu056	Otu057	Otu058	Otu059	Otu060	Otu061	Otu062	Otu063	Otu064	Otu065	Otu066	Otu067	Otu068	Otu069	Otu070	Otu071	Otu072	Otu073	Otu074	Otu075	Otu076	Otu077	Otu078	Otu079	Otu080	Otu081	Otu082	Otu083	Otu084	Otu085	Otu086	Otu087	Otu088	Otu089	Otu090	Otu091	Otu092	Otu093	Otu094	Otu095	Otu096	Otu097	Otu098	Otu099	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu122	Otu123	Otu124	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu134	Otu135	Otu138	Otu139	Otu141	Otu149	Otu158	Otu168	Otu171
1	040992_Sample00435	137	9247	2244	1837	3483	1130	3159	2806	557	235	313	780	847	996	4704	2456	1537	222	563	2472	566	673	331	414	1882	502	2424	189	801	711	345	62	56	97	116	216	109	181	51	32	462	68	1	267	303	10	311	85	0	3	9	0	4	32	2	1	2	40	11	22	30	95	253	0	1	0	45	24	39	1	10	41	188	0	1	5	31	45	0	24	2	93	9	1	1	583	287	58	3	0	7	0	0	5	2	0	40	1	0	0	0	0	0	4	0	19	0	0	0	3	0	0	1	1	0	16	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	2	0	0	0
1	040993_Sample00436	137	20161	5802	2338	1553	1130	630	2982	333	1238	521	1476	1721	4621	662	1072	140	2222	3574	2384	3	2022	795	1669	35	230	4	457	12	22	426	19	236	208	7	964	13	846	37	49	49	265	5	58	26	41	152	124	0	6	4	490	40	146	2	1	1	19	13	0	12	0	21	4	1	477	3	101	28	0	0	0	18	0	5	0	1	43	3	34	1	2028	0	0	14	0	0	0	4	0	0	0	5	1	0	0	4	11	2	0	0	0	1	4	0	31	0	1	59	6	8	5	0	1	0	17	4	8	0	0	12	0	2	0	5	0	0	31	0	0	0	0	0	0	0	0	0	0
1	040994_Sample00437	137	11549	2591	1657	1335	689	4156	2737	269	1425	993	1192	673	1918	739	408	1702	365	258	1784	151	1486	621	348	220	787	645	252	472	1430	241	94	198	99	252	410	81	234	120	6	738	37	4	217	64	86	25	70	5	0	91	0	9	23	1	4	1	107	3	0	13	19	0	3	0	104	210	65	5	7	18	0	37	7	36	3	28	79	1	13	7	360	3	1	1	68	15	4	4	0	4	3	5	0	1	2	6	4	4	3	0	0	0	1	0	51	4	1	1	0	0	0	0	1	0	19	0	0	0	0	3	0	2	1	8	0	0	4	0	0	0	0	0	3	7	0	0	0
1	040995_Sample00438	137	6037	2013	1450	1639	853	3630	2905	261	397	885	873	344	970	365	409	1986	111	425	582	121	408	228	790	315	369	938	206	592	491	230	137	116	55	1006	622	89	345	111	42	229	22	7	226	114	8	21	52	0	0	21	0	2	38	0	1	2	20	13	7	25	61	0	11	0	1	9	19	12	28	55	39	123	2	2	2	11	62	1	11	1	301	12	2	0	1	14	2	0	1	1	0	2	8	0	1	10	1	0	0	0	0	0	0	0	24	1	0	3	0	1	0	0	4	0	22	0	0	0	0	1	0	2	0	1	1	0	7	0	0	0	0	0	5	10	0	0	0
1	040996_Sample00439	137	16471	2616	1352	806	351	1400	7958	219	1496	703	1565	230	649	25	253	790	43	289	3890	464	356	142	277	251	606	3355	162	871	2017	213	44	430	143	293	70	10	5	215	5	131	12	1	336	481	94	19	58	0	0	13	1	2	2	1	9	4	132	2	0	5	38	0	0	0	0	2	3	2	55	5	0	95	16	24	1	4	26	0	32	5	217	8	0	4	2	35	0	0	4	0	7	0	1	1	0	51	0	0	0	0	1	0	0	0	55	2	3	0	0	0	0	1	0	2	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	040997_Sample00440	137	6117	2022	1262	1065	525	1009	2872	386	631	561	954	399	647	734	462	2315	144	433	978	95	106	283	780	105	229	1008	120	300	572	137	110	96	45	76	608	80	130	73	8	219	16	0	138	45	11	27	71	2	1	13	0	4	13	1	0	0	25	10	1	7	16	0	7	3	0	12	18	1	26	29	1	90	1	50	1	0	34	3	7	0	77	3	1	0	0	3	5	0	0	2	0	3	0	0	0	10	0	0	0	2	1	0	0	0	10	1	0	3	0	1	1	0	10	0	13	0	0	0	1	1	0	3	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0
1	040998_Sample00441	137	4732	1179	722	733	257	1866	1901	73	842	617	937	34	1222	23	81	1051	73	78	686	54	310	393	186	34	379	386	188	159	5	64	48	148	78	14	153	14	42	70	1	231	14	0	82	26	41	7	22	4	0	17	2	8	10	0	0	0	66	3	0	2	3	0	0	0	112	3	32	2	0	3	4	5	0	27	0	0	29	1	21	0	34	0	0	0	0	0	1	0	0	0	2	2	1	0	0	3	3	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0
1	040999_Sample00442	137	4809	2509	870	1020	324	592	1068	49	548	794	923	201	1608	35	136	717	287	355	1113	40	280	144	315	51	227	284	102	390	200	313	5	84	80	7	107	19	193	70	1	146	29	11	169	7	48	0	79	1	0	0	0	8	60	0	0	3	48	3	0	8	90	0	7	0	27	0	40	10	0	30	0	46	0	31	0	0	23	0	19	0	287	7	0	0	3	19	0	0	0	0	0	11	0	0	0	5	1	1	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	14	0	0	0	0	1	0	1	0	0	0	0	21	0	0	0	0	0	0	4	0	0	0
1	041000_Sample00443	137	8870	1762	1449	1138	1306	1378	3639	223	840	514	1084	381	823	323	436	851	200	424	1816	151	227	408	479	79	405	1408	124	280	489	185	76	199	167	134	339	62	350	71	3	244	29	0	119	77	53	41	60	4	4	20	0	2	70	0	0	3	69	5	2	12	14	19	3	9	42	47	12	11	32	11	2	29	0	32	1	0	47	0	10	3	660	4	11	6	1	5	4	0	3	1	1	4	6	1	3	5	5	0	0	0	0	0	0	0	10	4	5	3	0	0	1	0	5	0	13	0	0	0	0	1	0	4	0	2	0	0	1	0	0	0	0	0	4	4	0	0	0
1	041001_Sample00444	137	6078	2552	2074	1860	709	1363	2361	585	282	397	1131	666	656	3415	453	1231	230	597	2671	161	388	233	760	145	714	1035	131	236	642	219	27	133	45	265	212	109	226	45	22	132	55	6	222	107	20	135	150	3	6	0	2	5	66	0	0	1	24	14	12	13	74	4	19	4	0	9	51	10	49	36	45	119	0	0	1	0	75	1	13	1	453	13	0	3	8	38	3	0	1	2	2	6	13	0	2	5	1	0	0	0	0	1	0	0	6	0	1	0	0	0	0	0	28	0	14	0	0	1	1	0	0	3	0	4	0	0	5	0	0	0	0	0	0	7	3	0	0
