Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
18	1	16S new 2_2	Sample10-Rep1	-1	9.771643	83.72118		0.9971455	812564.5	0.6331183	2.298441	FALSE	FALSE	FALSE	0.1672705										12	5568.346	1.120578	12.2474	9333.911	112.0384	2.676245		
18	5	16S new 2_2	Sample10-Rep2	-1	9.565578	83.73043		0.9976928	740322.6	0.6192976	2.250041	FALSE	FALSE	FALSE	0.2669743										16	5747.1	1.147622	12.07695	9925.63	118.4348	2.727067		
18	9	16S new 2_2	Sample10-Rep3	-1	9.679605	83.67548		0.9976261	665880.4	0.625891	2.266827	FALSE	FALSE	FALSE	0.2089566										17	5412.916	1.138025	12.17834	9280.6	110.9649	2.714529		
18	2	16S new 2_2	Sample11-Rep1 	-1	9.769837	84.3938		0.9965036	1062529	0.6174051	2.322528	FALSE	FALSE	FALSE	0.1511122										15	6208.264	1.107805	12.22877	9405.192	144.4102	2.514947		
18	6	16S new 2_2	Sample11-Rep2	-1	10.11101	84.32506		0.9968149	1027258	0.6265163	2.312052	FALSE	FALSE	FALSE	0.1236782										15	5638.063	1.113307	12.57719	9967.467	121.6994	2.767889		
18	10	16S new 2_2	Sample11-Rep3	-1	9.788646	84.25321		0.9960963	1152274	0.6208964	2.380425	FALSE	FALSE	FALSE	0.1117936										11	6193.783	1.078799	12.20938	9195.601	146.9074	2.48465		
18	3	16S new 2_2	Sample12-Rep1	-1	12.46626	84.75742		0.999301	161203.9	0.7142935	1.825487	FALSE	FALSE	FALSE	0.3842607										12	5476.52	1.509559	15.45428	10734.48	73.28783	2.960092		
18	7	16S new 2_2	Sample12-Rep2	-1	12.45385	84.68465		0.9991945	178753.3	0.7129735	1.823863	FALSE	FALSE	FALSE	0.3860919										11	5311.193	1.511613	15.44458	10568.61	68.00162	2.989875		
18	11	16S new 2_2	Sample12-Rep3	-1	12.5584	84.63513		0.9992973	152914.4	0.7136559	1.851225	FALSE	FALSE	FALSE	0.2887628										19	5437.534	1.477986	15.50485	10387.99	74.27869	2.910423		
18	0	16S new 2_2	Sample9-Rep1	-1	10.28999	84.62091		0.9965151	926025	0.6154639	2.373842	FALSE	FALSE	FALSE	0.06994628										15	5921.332	1.081982	12.71492	8879.338	130.5616	2.499551		
18	4	16S new 2_2	Sample9-Rep2	-1	10.01	84.62717		0.99619	1173214	0.6234703	2.336343	FALSE	FALSE	FALSE	0.1165828										8	5915.327	1.100673	12.45954	9612.217	129.8119	2.624968		
18	8	16S new 2_2	Sample9-Rep3	-1	9.998307	84.59219		0.9969012	980343.9	0.6139295	2.316292	FALSE	FALSE	FALSE	0.1312774										20	6020.039	1.111071	12.46154	9753.347	132.6047	2.620147		
0	1	16S old 1_1	Sample10-Rep1	-1	11.29307	82.81161		0.999546	85827.25	0.7498873	1.843048	FALSE	FALSE	FALSE	0.6518909										21	7427.266	1.487818	14.25246	9429.782	7.944591	2.269617		
0	5	16S old 1_1	Sample10-Rep2	-1	11.11876	82.7883		0.9998301	31897.8	0.7689313	1.800303	FALSE	FALSE	FALSE	1.006212										13	7271.848	1.542315	14.14992	9708.555	-22.11993	2.335088		
0	9	16S old 1_1	Sample10-Rep3	-1	11.02822	82.76917		0.9998288	37115.14	0.7285067	1.763928	FALSE	FALSE	FALSE	1.475848	LowEfficiency									18	7321.958	1.593245	14.12646	10465.53	-20.05023	2.429334		
0	2	16S old 1_1	Sample11-Rep1 	-1	10.60238	82.93682		0.9999016	20149.84	0.7209635	1.820735	FALSE	FALSE	FALSE	1.198712										15	7682.239	1.515593	13.59836	9449.126	15.07473	2.229996		
0	6	16S old 1_1	Sample11-Rep2	-1	11.15729	82.78192		0.9997388	52875.05	0.7375808	1.786477	FALSE	FALSE	FALSE	1.107663	LowEfficiency									11	7165.212	1.561145	14.21326	9964.075	-3.754817	2.390618		
0	10	16S old 1_1	Sample11-Rep3	-1	10.77167	82.82613		0.9997703	47445.96	0.699797	1.837947	FALSE	FALSE	FALSE	0.9658973										17	7237.507	1.494045	13.73926	9522.597	15.20358	2.315729		
0	3	16S old 1_1	Sample12-Rep1	-1	12.52148	82.75261		0.9998813	19800.65	0.7590883	1.873079	FALSE	FALSE	FALSE	0.2368527										15	7651.931	1.452566	15.43445	9753.191	-2.435187	2.274605		
