Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
18	0	16S new 2_2	Sample13-Rep1	-1	10.4655	84.66576		0.9973224	667221.3	0.6214023	2.236784	FALSE	FALSE	FALSE	0.1190994										7	5476.361	1.155372	12.98707	9070.765	86.60463	2.656349		
18	4	16S new 2_2	Sample13-Rep2	-1	10.22571	84.74716		0.9967054	940904.8	0.6350611	2.284555	FALSE	FALSE	FALSE	0.122462										18	5575.835	1.128143	12.71142	9581.808	94.70737	2.718452		
18	8	16S new 2_2	Sample13-Rep3	-1	10.09971	84.71373		0.9961922	1097477	0.6163189	2.315766	FALSE	FALSE	FALSE	0.1173047										13	5607.499	1.111347	12.5633	9524.307	100.7572	2.698495		
18	1	16S new 2_2	Sample14-Rep1	-1	10.13045	83.77482		0.9975134	627527.1	0.6260059	2.242769	FALSE	FALSE	FALSE	0.1488031										14	5747.688	1.151855	12.64739	8733.382	126.1383	2.51946		
18	5	16S new 2_2	Sample14-Rep2	-1	10.14664	83.79392		0.9972306	737418.8	0.6425306	2.256436	FALSE	FALSE	FALSE	0.1410767										14	5658.756	1.143938	12.65316	8978.759	127.3444	2.586702		
18	9	16S new 2_2	Sample14-Rep3	-1	10.07385	83.71029		0.9976354	634455.9	0.620625	2.228024	FALSE	FALSE	FALSE	0.1728784										15	5779.745	1.160579	12.60229	8986.447	132.6595	2.554817		
18	2	16S new 2_2	Sample15-Rep1 	-1	9.779877	84.56413		0.9961365	1052225	0.6169401	2.344054	FALSE	FALSE	FALSE	0.1293321										10	5894.11	1.09675	12.22425	8960.019	127.2393	2.520165		
18	6	16S new 2_2	Sample15-Rep2	-1	10.01875	84.55441		0.997541	782849.8	0.6292024	2.237279	FALSE	FALSE	FALSE	0.1924705										10	5740.502	1.15508	12.53994	9982.038	117.3335	2.738879		
18	10	16S new 2_2	Sample15-Rep3	-1	9.790717	84.55244		0.9969379	839054.6	0.5934235	2.357182	FALSE	FALSE	FALSE	0.1210727										16	5803.835	1.090168	12.22642	8989.572	126.9708	2.548902		
18	3	16S new 2_2	Sample16-Rep1	-1	10.08162	84.40002		0.9973584	720361.6	0.6339113	2.245252	FALSE	FALSE	FALSE	0.1592224										11	5895.952	1.150404	12.59665	9066.349	131.058	2.537724		
18	7	16S new 2_2	Sample16-Rep2	-1	9.951145	84.35341		0.9964234	984353.8	0.5980797	2.359879	FALSE	FALSE	FALSE	0.1017582										15	6074.518	1.08883	12.38509	8861.996	148.8743	2.45888		
18	11	16S new 2_2	Sample16-Rep3	-1	9.957991	84.32487		0.9969091	883930.4	0.6211129	2.272181	FALSE	FALSE	FALSE	0.1581073										14	5948.477	1.135014	12.45276	9200.308	138.9005	2.546666		
0	0	16S old 1_1	Sample13-Rep1	-1	12.03568	81.40533		0.9997626	44035.54	0.8452223	1.656362	FALSE	FALSE	FALSE	1.944271	LowEfficiency									15	6605.822	1.775199	15.37354	11217.58	-39.94136	2.698136		
0	4	16S old 1_1	Sample13-Rep2	-1	10.89467	82.50653		0.999747	40362.07	0.7307471	1.782089	FALSE	FALSE	FALSE	1.202684	LowEfficiency									8	6512.333	1.567253	13.95868	8876.414	-19.82389	2.363016		
0	8	16S old 1_1	Sample13-Rep3	-1	11.02227	82.51707		0.9997227	40885.59	0.7280846	1.78817	FALSE	FALSE	FALSE	1.037698	LowEfficiency									11	6133.033	1.558806	14.07516	8660.891	-27.55821	2.412171		
0	1	16S old 1_1	Sample14-Rep1	-1	11.57384	81.79839		0.9997449	43457.79	0.8239034	1.655453	FALSE	FALSE	FALSE	2.309664	LowEfficiency									9	6398.783	1.776981	14.91405	10201.01	-26.55635	2.594212		
0	5	16S old 1_1	Sample14-Rep2	-1	11.56306	82.50471		0.9997124	49199.17	0.7454021	1.799031	FALSE	FALSE	FALSE	0.7227761	LowEfficiency									10	7213.425	1.544021	14.59647	9218.53	11.65085	2.277969		
0	9	16S old 1_1	Sample14-Rep3	-1	11.51884	82.4993		0.9998467	23819.09	0.7632068	1.784751	FALSE	FALSE	FALSE	0.7968927	LowEfficiency									12	6777.054	1.56354	14.57795	8926.127	-1.179089	2.31711		
0	2	16S old 1_1	Sample15-Rep1 	-1	10.81043	82.23797		0.9997497	43353.41	0.7491224	1.744509	FALSE	FALSE	FALSE	1.711761	LowEfficiency									8	6313.353	1.622373	13.94702	9268.604	-14.91476	2.468095		
0	6	16S old 1_1	Sample15-Rep2	-1	10.86061	82.58916		0.9998239	29593.94	0.7424999	1.772382	FALSE	FALSE	FALSE	1.358247	LowEfficiency									12	6264.91	1.581001	13.94272	9184.438	-26.8478	2.466013		
0	10	16S old 1_1	Sample15-Rep3	-1	10.96702	82.57647		0.9996688	47954.25	0.7461324	1.772056	FALSE	FALSE	FALSE	1.169914	LowEfficiency									9	6115.084	1.581469	14.04974	8442.678	-10.7531	2.380631		
0	3	16S old 1_1	Sample16-Rep1	-1	10.91151	82.46947		0.9998366	31286.9	0.7280114	1.756738	FALSE	FALSE	FALSE	1.527951	LowEfficiency									13	7065.886	1.603863	14.02373	9583.595	2.860613	2.356319		
0	7	16S old 1_1	Sample16-Rep2	-1	10.97872	82.5479		0.9996576	61198.03	0.7392426	1.766303	FALSE	FALSE	FALSE	1.334832	LowEfficiency									7	6949.256	1.589779	14.07239	9327.651	-3.752094	2.342252		
0	11	16S old 1_1	Sample16-Rep3	-1	11.12061	82.49964		0.999747	44883.38	0.7303123	1.800188	FALSE	FALSE	FALSE	0.9603617										10	7037.449	1.542469	14.15198	9270.096	-3.945957	2.317252		
43	12	A.baumannii_1535	Sample13-Rep1													"LowEfficiency, CtIsLarge, MultipleMeltPeaks"																	
43	16	A.baumannii_1535	Sample13-Rep2													"CtIsLarge, MultipleMeltPeaks"																	
43	20	A.baumannii_1535	Sample13-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
43	13	A.baumannii_1535	Sample14-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	17	A.baumannii_1535	Sample14-Rep2	-1	32.31256	84.37109		0.9998878	18063.03	0.6315094	2.007501	FALSE	FALSE	FALSE	2.73E-08	CtIsLarge									4	6897.464	1.319261	35.04998	9445.564	43.70626	2.369426		
43	21	A.baumannii_1535	Sample14-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
43	14	A.baumannii_1535	Sample15-Rep1 													"CtIsLarge, MultipleMeltPeaks"																	
43	18	A.baumannii_1535	Sample15-Rep2													"CtIsLarge, CurveFitFailed"																	
43	22	A.baumannii_1535	Sample15-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
43	15	A.baumannii_1535	Sample16-Rep1													"CtIsLarge, MultipleMeltPeaks"																	
43	19	A.baumannii_1535	Sample16-Rep2	-1	32.55938	84.96423		0.9998886	19862.29	0.5949144	1.947798	FALSE	FALSE	FALSE	7.01E-08	CtIsLarge									9	6935.525	1.374061	35.36897	10578.25	33.55379	2.525226		
43	23	A.baumannii_1535	Sample16-Rep3													"CtIsLarge, MultipleMeltPeaks"																	
39	60	aac(3)-ib_408	Sample13-Rep1	-1	32.66077	88.78058		0.9999681	3637.56	0.4844612	1.863961	FALSE	FALSE	FALSE	2.50E-07	CtIsLarge									20	7453.825	1.463024	35.58752	9173.148	0.2910944	2.230663		
39	64	aac(3)-ib_408	Sample13-Rep2	-1	32.39802	88.88094		0.9999909	1167.893	0.4958342	1.836512	FALSE	FALSE	FALSE	5.13E-07	CtIsLarge									11	7339.954	1.495809	35.36794	9517.928	-1.698214	2.296729		
