label	Group	numOtus	Otu001	Otu002	Otu003	Otu004	Otu005	Otu006	Otu007	Otu008	Otu009	Otu010	Otu011	Otu012	Otu013	Otu014	Otu015	Otu016	Otu017	Otu018	Otu019	Otu020	Otu021	Otu022	Otu023	Otu024	Otu025	Otu026	Otu027	Otu028	Otu029	Otu030	Otu031	Otu032	Otu033	Otu034	Otu035	Otu036	Otu037	Otu038	Otu039	Otu040	Otu041	Otu042	Otu043	Otu044	Otu045	Otu046	Otu047	Otu048	Otu049	Otu050	Otu051	Otu052	Otu053	Otu054	Otu055	Otu056	Otu057	Otu058	Otu059	Otu060	Otu061	Otu062	Otu063	Otu064	Otu065	Otu066	Otu067	Otu068	Otu069	Otu070	Otu071	Otu072	Otu073	Otu074	Otu075	Otu076	Otu077	Otu078	Otu079	Otu080	Otu081	Otu082	Otu083	Otu084	Otu085	Otu086	Otu087	Otu088	Otu089	Otu090	Otu091	Otu092	Otu093	Otu094	Otu095	Otu096	Otu097	Otu098	Otu099	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu122	Otu123	Otu124	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu134	Otu139	Otu141	Otu149	Otu158	Otu168	Otu171
1	040998_Sample00441	134	2272	570	330	353	119	880	967	37	429	271	446	20	566	10	39	514	23	33	345	27	138	185	104	16	199	198	93	86	2	28	21	67	44	7	87	7	19	36	0	104	6	0	50	12	26	5	10	1	0	6	2	3	3	0	0	0	32	2	0	1	3	0	0	0	64	2	14	2	0	2	2	1	0	9	0	0	13	0	8	0	13	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1	040999_Sample00442	134	2130	1163	388	476	149	260	479	18	246	346	415	99	738	10	66	332	140	157	479	16	130	63	149	25	92	135	42	165	90	143	1	44	34	4	56	12	87	33	0	58	17	8	75	5	15	0	49	1	0	0	0	4	27	0	0	1	25	0	0	5	43	0	0	0	14	0	13	4	0	14	0	17	0	16	0	0	9	0	10	0	122	3	0	0	0	8	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0
1	041000_Sample00443	134	2555	498	419	359	354	407	1051	52	215	165	286	111	219	89	133	241	58	107	536	50	66	102	129	24	124	420	40	78	139	55	26	51	47	41	89	16	99	15	0	86	9	0	24	16	15	11	13	3	2	8	0	1	19	0	0	0	19	1	0	4	4	7	1	3	11	13	2	1	7	2	1	9	0	8	1	0	18	0	3	1	181	2	4	1	0	0	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	3	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0
1	041001_Sample00444	134	1606	712	543	490	187	359	652	143	69	101	291	186	163	946	135	307	63	159	710	44	93	68	232	43	196	281	35	71	172	57	3	45	17	70	61	29	73	8	6	42	17	3	60	29	4	26	40	0	1	0	2	2	17	0	0	1	5	3	4	3	17	3	3	1	0	1	19	3	14	12	12	35	0	0	0	0	16	0	4	0	125	4	0	2	6	12	1	0	0	1	0	3	2	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
1	041002_Sample00445	134	1604	596	320	745	144	344	545	65	232	253	508	15	25	7	38	328	5	45	489	208	21	32	190	222	80	824	53	284	435	80	18	60	54	73	92	13	2	54	15	403	3	1	102	2	3	50	18	1	0	1	0	0	1	0	0	0	30	0	0	9	72	0	0	0	0	0	0	1	23	4	2	40	1	0	0	0	17	0	7	0	15	6	3	0	10	30	2	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	4	0	0	0
1	041003_Sample00446	134	1919	496	465	319	142	256	679	40	428	237	357	27	147	0	104	1371	40	128	782	128	106	89	141	31	102	414	67	335	19	52	37	55	28	33	80	1	11	27	4	44	8	0	30	1	3	2	15	0	0	0	0	0	3	0	0	0	23	0	0	7	20	0	0	0	0	0	23	4	0	2	0	9	0	8	0	0	15	0	3	3	62	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0
1	041004_Sample00448	134	1234	613	394	391	133	115	1862	61	245	300	471	5	352	4	9	1353	19	45	506	77	34	187	148	30	255	57	140	13	0	56	118	103	60	11	146	14	53	63	5	84	2	3	58	0	11	7	24	0	0	2	0	0	7	1	0	0	26	0	0	2	1	0	1	0	3	0	7	2	0	0	0	22	0	0	0	0	35	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
1	041005_Sample00449	134	1826	1411	464	776	331	203	423	176	140	207	274	139	583	431	234	162	64	279	182	8	83	124	169	22	198	11	34	22	22	66	19	34	114	21	203	27	59	21	8	37	23	1	56	4	16	45	17	1	2	1	0	1	14	6	0	0	1	0	3	1	0	12	2	1	23	4	14	3	0	19	15	22	0	2	0	0	35	1	4	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	2	0	0	0
1	041006_Sample00450	134	1303	822	665	521	1215	424	527	258	47	44	85	127	583	298	226	695	54	274	64	6	151	129	120	5	224	119	29	16	14	93	2	13	31	7	62	98	54	18	0	99	8	2	36	2	12	9	15	1	0	0	13	2	30	53	1	0	7	2	23	20	1	2	2	3	0	2	6	0	0	0	2	33	0	3	0	1	22	0	2	0	129	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	12	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0
1	041007_Sample00451	134	1787	888	366	337	121	265	834	42	317	189	523	21	160	18	44	971	14	60	462	33	101	122	447	33	304	249	49	22	75	103	37	71	70	4	406	4	7	29	22	93	8	2	57	6	31	0	23	1	1	9	0	0	0	0	0	0	24	0	0	2	0	0	0	1	0	0	12	0	15	9	0	12	3	1	0	0	22	0	1	0	14	4	0	0	0	0	2	0	0	0	4	0	0	0	0	5	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	3	0	0	3	3	0	8	0	4	0	0	0	0	0	0	0	2	0	0	0
1	041008_Sample00452	134	807	731	600	273	339	62	2294	159	118	256	727	86	400	18	69	452	35	245	191	10	14	327	45	25	490	280	77	7	78	66	59	93	19	0	43	35	4	29	0	48	15	0	85	0	14	0	25	0	0	1	0	1	15	0	0	0	8	1	0	8	7	0	0	0	0	0	10	0	0	13	0	47	0	16	0	0	70	1	6	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	1	2	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	1	0	0	0	0	0	0	0	0	0	0	0
1	041009_Sample00453	134	719	708	402	567	125	982	1263	85	146	305	530	24	223	40	55	1171	24	81	218	35	34	223	183	32	404	293	86	14	133	51	54	136	22	18	136	9	1	54	2	69	8	4	43	1	14	4	17	1	1	4	1	2	41	2	2	1	23	0	0	3	1	0	0	1	0	0	4	0	4	1	0	28	0	17	0	0	34	0	0	0	37	1	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	1	0	0	2	1	4	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	3	0	0	12	0	0	0	0	1	0	0	0
1	041012_WATER	134	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	0	15	2691	0	0	0	0	0	5
